110,       DQUOSY, No. 21 : " ".
110,      COMMASY, No. 18 : ,.
110,      IDENTSY, No. 38 : m.
110,       RPARSY, No. 12 : ).
110,       SEMISY, No. 19 : ;.
111,      IDENTSY, No. 38 : h.
111,     ASSIGNSY, No. 10 : =.
111,     ASSIGNSY, No. 10 : =.
111,      IDENTSY, No. 38 : h.
111,       PLUSSY, No.  0 : +.
111,    INTEGERSY, No. 35 : 1.
111,       SEMISY, No. 19 : ;.
113,      IDENTSY, No. 38 : x2.
113,     ASSIGNSY, No. 10 : =.
113,     ASSIGNSY, No. 10 : =.
113,       LPAESY, No. 11 : (.
113,      IDENTSY, No. 38 : h.
113,        DIVSY, No.  3 : /.
113,    INTEGERSY, No. 35 : 10.
113,       RPARSY, No. 12 : ).
113,       MULTSY, No.  2 : *.
113,    INTEGERSY, No. 35 : 10.
113,       SEMISY, No. 19 : ;.
114,         IFSY, No. 30 : if.
114,       LPAESY, No. 11 : (.
114,      IDENTSY, No. 38 : x2.
114,        EQUSY, No.  9 : ==.
114,      IDENTSY, No. 38 : h.
114,       RPARSY, No. 12 : ).
115,      PRINTSY, No. 33 : printf.
115,       LPAESY, No. 11 : (.
115,       DQUOSY, No. 21 : ".
115,     STRINGSY, No. 37 : "          ".
115,       DQUOSY, No. 21 : "          ".
115,       RPARSY, No. 12 : ).
115,       SEMISY, No. 19 : ;.
116,       RPRTSY, No. 16 : }.
117,      IDENTSY, No. 38 : leap.
117,     ASSIGNSY, No. 10 : =.
117,     ASSIGNSY, No. 10 : =.
117,    INTEGERSY, No. 35 : 1.
117,       SEMISY, No. 19 : ;.
118,      IDENTSY, No. 38 : m.
118,     ASSIGNSY, No. 10 : =.
118,     ASSIGNSY, No. 10 : =.
118,      IDENTSY, No. 38 : m.
118,       PLUSSY, No.  0 : +.
118,    INTEGERSY, No. 35 : 1.
118,       SEMISY, No. 19 : ;.
119,       RPRTSY, No. 16 : }.
121,      PRINTSY, No. 33 : printf.
121,       LPAESY, No. 11 : (.
121,       DQUOSY, No. 21 : ".
121,     STRINGSY, No. 37 : "          The total is ".
121,       DQUOSY, No. 21 : "          The total is ".
121,      COMMASY, No. 18 : ,.
121,      IDENTSY, No. 38 : h.
121,       RPARSY, No. 12 : ).
121,       SEMISY, No. 19 : ;.
123,       RPRTSY, No. 16 : }.
126,       VOIDSY, No. 25 : void.
126,       MAINSY, No. 26 : main.
126,       MAINSY, No. 26 : main.
126,       LPAESY, No. 11 : (.
126,       RPARSY, No. 12 : ).
127,       LPRTSY, No. 15 : {.
128,        INTSY, No. 22 : int.
128,      IDENTSY, No. 38 : n.
128,       SEMISY, No. 19 : ;.
128,      IDENTSY, No. 38 : n.
128,       SEMISY, No. 19 : ;.
130,      IDENTSY, No. 38 : n.
130,     ASSIGNSY, No. 10 : =.
130,     ASSIGNSY, No. 10 : =.
130,      IDENTSY, No. 38 : factorial.
130,       LPAESY, No. 11 : (.
130,    INTEGERSY, No. 35 : 10.
130,       RPARSY, No. 12 : ).
130,       SEMISY, No. 19 : ;.
131,      PRINTSY, No. 33 : printf.
131,       LPAESY, No. 11 : (.
131,       DQUOSY, No. 21 : ".
131,     STRINGSY, No. 37 : " 10! = ".
131,       DQUOSY, No. 21 : " 10! = ".
131,      COMMASY, No. 18 : ,.
131,      IDENTSY, No. 38 : n.
131,       RPARSY, No. 12 : ).
131,       SEMISY, No. 19 : ;.
133,      IDENTSY, No. 38 : swap.
133,       LPAESY, No. 11 : (.
133,       LPAESY, No. 11 : (.
133,    INTEGERSY, No. 35 : 5.
133,      COMMASY, No. 18 : ,.
133,    INTEGERSY, No. 35 : 10.
133,       RPARSY, No. 12 : ).
133,       SEMISY, No. 19 : ;.
135,      IDENTSY, No. 38 : complete_num.
135,       LPAESY, No. 11 : (.
135,       LPAESY, No. 11 : (.
135,    INTEGERSY, No. 35 : 2.
135,       RPARSY, No. 12 : ).
135,       SEMISY, No. 19 : ;.
136,       RPRTSY, No. 16 : }.
